runId,ts,label,norm,ctxTokens,toolCalls,durationMs,fresh,cacheRead,out,turns
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,intake,intake,0,0,0,234833,1002377,5836,24
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,validate-plan,validate-plan,0,0,0,178808,623997,12566,22
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,research:b1-t1,research,46966,16,125901,186311,720430,9471,29
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,test:b1-t1,test,74464,22,758651,297116,1555668,14156,39
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,code:b1-t1,code,63717,32,174678,155137,2218336,11051,53
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,validate:b1-t1,validate,43630,16,119495,168470,771133,6514,31
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,scope:b1,scope,51275,16,122155,218485,874313,2199,31
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,commit:b1,commit,20509,6,77459,41034,193816,969,12
wf_26aba332-6b9,2026-07-28T21:55:31.554Z,scope:FINAL,scope,50262,17,145561,166512,1062838,8789,38
wf_31b56191-737,2026-07-22T18:27:06.476Z,intake,intake,106437,16,404971,294727,1583947,34535,27
wf_31b56191-737,2026-07-22T18:27:06.476Z,validate-plan,validate-plan,57290,7,168293,170824,418975,1921,15
wf_31b56191-737,2026-07-22T18:27:06.476Z,research:b1-t1,research,108016,15,410476,353215,1707100,29786,32
wf_31b56191-737,2026-07-22T18:27:06.476Z,test:b1-t1,test,71240,32,131925,203215,2259664,8706,49
wf_31b56191-737,2026-07-22T18:27:06.476Z,code:b1-t1,code,141292,59,586066,379716,9450337,54663,99
wf_31b56191-737,2026-07-22T18:27:06.476Z,validate:b1-t1,validate,48668,15,80568,151848,671188,2546,27
wf_31b56191-737,2026-07-22T18:27:06.476Z,research:b1-t2,research,125925,36,581499,434937,6041146,38428,80
wf_31b56191-737,2026-07-22T18:27:06.476Z,test:b1-t2,test,92358,31,192023,235254,2586362,15741,48
wf_31b56191-737,2026-07-22T18:27:06.476Z,code:b1-t2,code,64163,40,190172,159104,2959144,10362,66
wf_31b56191-737,2026-07-22T18:27:06.476Z,validate:b1-t2,validate,39836,15,161302,104042,797499,8874,30
